run	tokenizer_id	order	vocab_size	train_docs	eval_docs	train_tokens	eval_tokens	eval_bytes	bits	bpb	bits_per_token	tokens_per_byte	oov_token_rate	roundtrip_ok	ngram_types
full-128k-bpe-nfc-clean-balanced-v128k	full-128k-bpe-nfc-clean-balanced-v128k	2	128000	5602	1219	6764902	1452365	6245373	14458412.392280817	2.3150598678863243	9.946733310411243	0.23255056183193543	0.0041642424597122625	True	1:120208,2:2141461
full-128k-bpe-nfc-clean-balanced-v128k	full-128k-bpe-nfc-clean-balanced-v128k	3	128000	5602	1219	6764902	1452365	6245373	14004565.460744068	2.2423905602986514	9.634507163496618	0.23255056183193543	0.0041642424597122625	True	1:120208,2:2141462,3:4141878
full-128k-bpe-nfc-clean-balanced-v160k	full-128k-bpe-nfc-clean-balanced-v160k	1	160000	5602	1219	6667971	1430650	6245373	17660425.282443862	2.827761493579945	12.33382752363789	0.22907358775848938	0.006681578303568308	True	1:144765
full-128k-bpe-nfc-clean-balanced-v160k	full-128k-bpe-nfc-clean-balanced-v160k	2	160000	5602	1219	6667971	1430650	6245373	14436383.679374937	2.311532662560737	10.082195842898294	0.22907358775848938	0.006681578303568308	True	1:144766,2:2157688
full-128k-bpe-nfc-clean-balanced-v160k	full-128k-bpe-nfc-clean-balanced-v160k	3	160000	5602	1219	6667971	1430650	6245373	14002188.765658706	2.2420100073540374	9.778959364061032	0.22907358775848938	0.006681578303568308	True	1:144766,2:2157689,3:4093525
full-128k-bpe-nfc-clean-balanced-v200k	full-128k-bpe-nfc-clean-balanced-v200k	1	200000	5602	1219	6578714	1409995	6245373	17460883.474273153	2.795811150794861	12.372952276744103	0.22576633933633747	0.010365994205653211	True	1:171326
full-128k-bpe-nfc-clean-balanced-v200k	full-128k-bpe-nfc-clean-balanced-v200k	2	200000	5602	1219	6578714	1409995	6245373	14398950.942911997	2.3055389874891374	10.203237030607688	0.22576633933633747	0.010365994205653211	True	1:171327,2:2165631
full-128k-bpe-nfc-clean-balanced-v200k	full-128k-bpe-nfc-clean-balanced-v200k	3	200000	5602	1219	6578714	1409995	6245373	13979192.024955356	2.2383278028318494	9.905791768615785	0.22576633933633747	0.010365994205653211	True	1:171327,2:2165632,3:4046596
full-128k-bpe-nfc-clean-balanced-v64k	full-128k-bpe-nfc-clean-balanced-v64k	1	64000	5602	1219	7149210	1537971	6245373	18634003.800029628	2.9836494633754667	12.10637010377512	0.24625766947786787	0.0006502073186035368	True	1:63043
full-128k-bpe-nfc-clean-balanced-v64k	full-128k-bpe-nfc-clean-balanced-v64k	2	64000	5602	1219	7149210	1537971	6245373	14491857.040623836	2.320414976114931	9.415248956024815	0.24625766947786787	0.0006502073186035368	True	1:63044,2:2028696
full-128k-bpe-nfc-clean-balanced-v64k	full-128k-bpe-nfc-clean-balanced-v64k	3	64000	5602	1219	7149210	1537971	6245373	13936139.229228616	2.23143425208208	9.054203333720084	0.24625766947786787	0.0006502073186035368	True	1:63044,2:2028697,3:4288258
full-128k-bpe-nfc-clean-balanced-v96k	full-128k-bpe-nfc-clean-balanced-v96k	1	96000	5602	1219	6908965	1485284	6245373	18170991.278729886	2.909512574946266	12.22398560832362	0.237821504015853	0.002151777033887122	True	1:92808
full-128k-bpe-nfc-clean-balanced-v96k	full-128k-bpe-nfc-clean-balanced-v96k	2	96000	5602	1219	6908965	1485284	6245373	14478180.33755885	2.3182250824024204	9.739758572676173	0.237821504015853	0.002151777033887122	True	1:92809,2:2106806
full-128k-bpe-nfc-clean-balanced-v96k	full-128k-bpe-nfc-clean-balanced-v96k	3	96000	5602	1219	6908965	1485284	6245373	13991017.29117975	2.240221247182474	9.41203434583028	0.237821504015853	0.002151777033887122	True	1:92809,2:2106807,3:4204387
full-128k-bpe-nfc-plus2-balanced	full-128k-bpe-nfc-plus2-balanced	1	128256	5602	1219	6750715	1448790	6245373	17845484.708941355	2.8573929385708996	12.307154444518176	0.231978138055165	0.004186942206945106	True	1:120448
full-128k-bpe-nfc-plus2-balanced	full-128k-bpe-nfc-plus2-balanced	2	128256	5602	1219	6750715	1448790	6245373	14445729.962762322	2.3130291758014008	9.962510551839555	0.231978138055165	0.004186942206945106	True	1:120449,2:2143915
full-128k-bpe-nfc-plus2-balanced	full-128k-bpe-nfc-plus2-balanced	3	128256	5602	1219	6750715	1448790	6245373	14002216.50658555	2.242014449190713	9.656641101252164	0.231978138055165	0.004186942206945106	True	1:120449,2:2143916,3:4143940
full-128k-bpe-nfc-plus3-balanced	full-128k-bpe-nfc-plus3-balanced	1	128256	5602	1219	6756259	1449749	6245373	17852892.849320333	2.858579119184768	12.304125831390033	0.23213169173402454	0.004155891812996595	True	1:120477
full-128k-bpe-nfc-plus3-balanced	full-128k-bpe-nfc-plus3-balanced	2	128256	5602	1219	6756259	1449749	6245373	14451213.476049848	2.3139071879373496	9.959705159624367	0.23213169173402454	0.004155891812996595	True	1:120478,2:2143536
full-128k-bpe-nfc-plus3-balanced	full-128k-bpe-nfc-plus3-balanced	3	128256	5602	1219	6756259	1449749	6245373	14008909.782307819	2.243086166720197	9.654871632115814	0.23213169173402454	0.004155891812996595	True	1:120478,2:2143537,3:4144869
full-128k-claude-allmulti-equal-bpe	full-128k-claude-allmulti-equal-bpe	1	128256	5602	1219	6698295	1440014	6245373	17961791.13077514	2.8760157529062136	12.462794794995077	0.23057293775728047	0.006690907171735831	True	1:110218
full-128k-claude-allmulti-equal-bpe	full-128k-claude-allmulti-equal-bpe	2	128256	5602	1219	6698295	1440014	6245373	14409774.7279859	2.3072720761411527	9.998227023656758	0.23057293775728047	0.006690907171735831	True	1:110219,2:2124944
full-128k-claude-allmulti-equal-bpe	full-128k-claude-allmulti-equal-bpe	3	128256	5602	1219	6698295	1440014	6245373	13942113.205952415	2.2323907965068566	9.673739919882777	0.23057293775728047	0.006690907171735831	True	1:110219,2:2124945,3:4295884
full-128k-claude-balanced-bpe	full-128k-claude-balanced-bpe	1	128256	5602	1219	6531975	1412740	6245373	17715490.881640546	2.8365785168700968	12.528998989108274	0.22620586472577378	0.004313603352350751	True	1:120719
full-128k-claude-balanced-bpe	full-128k-claude-balanced-bpe	2	128256	5602	1219	6531975	1412740	6245373	14443558.747519983	2.312681523989037	10.214977059108492	0.22620586472577378	0.004313603352350751	True	1:120720,2:2194110
full-128k-claude-balanced-bpe	full-128k-claude-balanced-bpe	3	128256	5602	1219	6531975	1412740	6245373	14019080.356711183	2.244714664234015	9.914771472660227	0.22620586472577378	0.004313603352350751	True	1:120720,2:2194111,3:4242099
full-128k-claude-balanced-nfc-bpe	full-128k-claude-balanced-nfc-bpe	1	128256	5602	1219	6531959	1412740	6245373	17715489.838457808	2.836578349837201	12.528998251333885	0.22620586472577378	0.004313603352350751	True	1:120719
full-128k-claude-balanced-nfc-bpe	full-128k-claude-balanced-nfc-bpe	2	128256	5602	1219	6531959	1412740	6245373	14443562.067729067	2.3126820556160643	10.214979407273526	0.22620586472577378	0.004313603352350751	True	1:120720,2:2194107
full-128k-claude-balanced-nfc-bpe	full-128k-claude-balanced-nfc-bpe	3	128256	5602	1219	6531959	1412740	6245373	14019079.528924135	2.2447145316899624	9.914770887221012	0.22620586472577378	0.004313603352350751	True	1:120720,2:2194108,3:4242093
full-128k-claude-balanced-unigram	full-128k-claude-balanced-unigram	1	128256	5602	1219	9330741	2005882	6245373	20245652.059460532	3.241704227987749	10.08701209329303	0.3211788951596646	0.0042534904844851295	True	1:94166
full-128k-claude-balanced-unigram	full-128k-claude-balanced-unigram	2	128256	5602	1219	9330741	2005882	6245373	15326516.840298224	2.4540594837647367	7.636146282772129	0.3211788951596646	0.0042534904844851295	True	1:94167,2:1274767
full-128k-claude-balanced-unigram	full-128k-claude-balanced-unigram	3	128256	5602	1219	9330741	2005882	6245373	14113434.753505528	2.259822552392872	7.031751144314874	0.3211788951596646	0.0042534904844851295	True	1:94167,2:1274768,3:3415532
full-128k-claude-english-bpe	full-128k-claude-english-bpe	1	128256	5602	1219	8470571	1848670	6245373	20865105.48874093	3.340890206035881	11.279112146048183	0.2960063394131944	0.004913261966711203	True	1:93846
full-128k-claude-english-bpe	full-128k-claude-english-bpe	2	128256	5602	1219	8470571	1848670	6245373	14832643.66782485	2.3749812329583597	8.018126313430075	0.2960063394131944	0.004913261966711203	True	1:93847,2:1632467
full-128k-claude-english-bpe	full-128k-claude-english-bpe	3	128256	5602	1219	8470571	1848670	6245373	13623480.106266174	2.181371730121832	7.364485169794606	0.2960063394131944	0.004913261966711203	True	1:93847,2:1632468,3:3846486
full-128k-clauderev-balanced-bpe	full-128k-clauderev-balanced-bpe	1	128256	5602	1219	6605623	1427144	6245373	17803004.53718467	2.850591075534587	12.463921662199784	0.22851221216090697	0.004089286014585774	False	1:120757
full-128k-clauderev-balanced-bpe	full-128k-clauderev-balanced-bpe	2	128256	5602	1219	6605623	1427144	6245373	14475589.766521022	2.317810283952779	10.134391444276435	0.22851221216090697	0.004089286014585774	False	1:120758,2:2175287
full-128k-clauderev-balanced-bpe	full-128k-clauderev-balanced-bpe	3	128256	5602	1219	6605623	1427144	6245373	14029299.59656777	2.2463509539891007	9.821942739043065	0.22851221216090697	0.004089286014585774	False	1:120758,2:2175288,3:4225602
full-128k-gpt2-balanced-bpe	full-128k-gpt2-balanced-bpe	1	128256	5602	1219	6414084	1393733	6245373	17668824.89025478	2.8291064265104393	12.666260122394736	0.22316249165582264	0.004195925618464943	True	1:120787
full-128k-gpt2-balanced-bpe	full-128k-gpt2-balanced-bpe	2	128256	5602	1219	6414084	1393733	6245373	14422750.001696602	2.3093496580102744	10.339244649060758	0.22316249165582264	0.004195925618464943	True	1:120788,2:2223323
full-128k-gpt2-balanced-bpe	full-128k-gpt2-balanced-bpe	3	128256	5602	1219	6414084	1393733	6245373	13991587.03571717	2.2403124738453846	10.03015661880636	0.22316249165582264	0.004195925618464943	True	1:120788,2:2223324,3:4287064
full-128k-gpt4o-allmulti-equal-nfc-bpe	full-128k-gpt4o-allmulti-equal-nfc-bpe	1	128256	5602	1219	6450648	1381630	6245373	17872996.550018363	2.8617980943681607	12.924763694386273	0.22122457697882897	0.007002598380174142	True	1:111181
full-128k-gpt4o-allmulti-equal-nfc-bpe	full-128k-gpt4o-allmulti-equal-nfc-bpe	2	128256	5602	1219	6450648	1381630	6245373	14433103.377351902	2.3110074253934716	10.437222992063417	0.22122457697882897	0.007002598380174142	True	1:111182,2:2215716
full-128k-gpt4o-allmulti-equal-nfc-bpe	full-128k-gpt4o-allmulti-equal-nfc-bpe	3	128256	5602	1219	6450648	1381630	6245373	14027642.862672336	2.2460856801783233	10.144016347896507	0.22122457697882897	0.007002598380174142	True	1:111182,2:2215717,3:4386785
full-128k-gpt4o-allmulti-equal-norepeat-bpe	full-128k-gpt4o-allmulti-equal-norepeat-bpe	1	128256	5602	1219	6450676	1381633	6245373	17873018.60984897	2.861801626556007	12.924751607438084	0.22122505733444583	0.007002583175126824	True	1:111179
full-128k-gpt4o-allmulti-equal-norepeat-bpe	full-128k-gpt4o-allmulti-equal-norepeat-bpe	2	128256	5602	1219	6450676	1381633	6245373	14433089.865994515	2.3110052619746675	10.43719057859736	0.22122505733444583	0.007002583175126824	True	1:111180,2:2215721
full-128k-gpt4o-allmulti-equal-norepeat-bpe	full-128k-gpt4o-allmulti-equal-norepeat-bpe	3	128256	5602	1219	6450676	1381633	6245373	14027650.178970743	2.246086851653335	10.143999631898962	0.22122505733444583	0.007002583175126824	True	1:111180,2:2215722,3:4386797
full-128k-gpt4o-balanced-bpe	full-128k-gpt4o-balanced-bpe	1	128256	5602	1219	6280611	1353529	6245373	17623377.302068155	2.821829425090888	13.0086018226771	0.21672508591560505	0.0044845732895268595	True	1:120803
full-128k-gpt4o-balanced-bpe	full-128k-gpt4o-balanced-bpe	2	128256	5602	1219	6280611	1353529	6245373	14466620.761117905	2.316374179911737	10.6784588433553	0.21672508591560505	0.0044845732895268595	True	1:120804,2:2288467
full-128k-gpt4o-balanced-bpe	full-128k-gpt4o-balanced-bpe	3	128256	5602	1219	6280611	1353529	6245373	14106785.873655248	2.2587579434655463	10.41284864318327	0.21672508591560505	0.0044845732895268595	True	1:120804,2:2288468,3:4330455
full-128k-gpt4o-balanced-nfc-bpe	full-128k-gpt4o-balanced-nfc-bpe	1	128256	5602	1219	6280589	1353525	6245373	17623331.56987056	2.821822102518226	13.00860647463326	0.21672444544144923	0.004484586542546314	True	1:120805
full-128k-gpt4o-balanced-nfc-bpe	full-128k-gpt4o-balanced-nfc-bpe	2	128256	5602	1219	6280589	1353525	6245373	14466648.035906037	2.316378547110963	10.67851050523644	0.21672444544144923	0.004484586542546314	True	1:120806,2:2288468
full-128k-gpt4o-balanced-nfc-bpe	full-128k-gpt4o-balanced-nfc-bpe	3	128256	5602	1219	6280589	1353525	6245373	14106803.896292772	2.2587608292239345	10.412892691381376	0.21672444544144923	0.004484586542546314	True	1:120806,2:2288469,3:4330442
full-128k-gpt4o-balanced-unigram	full-128k-gpt4o-balanced-unigram	1	128256	5602	1219	9155958	1966958	6245373	19999499.531756848	3.2022906448913218	10.16143341363955	0.31494644114931164	0.004238524666007103	True	1:96042
full-128k-gpt4o-balanced-unigram	full-128k-gpt4o-balanced-unigram	2	128256	5602	1219	9155958	1966958	6245373	15292075.500592746	2.448544786771382	7.769664771304992	0.31494644114931164	0.004238524666007103	True	1:96043,2:1293068
full-128k-gpt4o-balanced-unigram	full-128k-gpt4o-balanced-unigram	3	128256	5602	1219	9155958	1966958	6245373	14116675.578595553	2.2603414685713012	7.172462425175963	0.31494644114931164	0.004238524666007103	True	1:96043,2:1293069,3:3462175
full-128k-gpt4o-balanced-unigram-tuned	full-128k-gpt4o-balanced-unigram-tuned	1	128256	5602	1219	9290829	1993954	6245373	20230323.76325704	3.2392498835949497	10.13963388801725	0.31926900122698837	0.004214741162534341	True	1:90912
full-128k-gpt4o-balanced-unigram-tuned	full-128k-gpt4o-balanced-unigram-tuned	2	128256	5602	1219	9290829	1993954	6245373	15319256.018182907	2.452896891536007	7.678159246432719	0.31926900122698837	0.004214741162534341	True	1:90913,2:1264316
full-128k-gpt4o-balanced-unigram-tuned	full-128k-gpt4o-balanced-unigram-tuned	3	128256	5602	1219	9290829	1993954	6245373	14114970.242950065	2.2600684127193147	7.07455957099964	0.31926900122698837	0.004214741162534341	True	1:90913,2:1264317,3:3426182
full-128k-gpt4o-code-bpe	full-128k-gpt4o-code-bpe	1	128256	5602	1219	7550832	1639897	6245373	19918717.109233953	3.189355881423568	12.137299928362134	0.2625779116795746	0.006940070016592506	True	1:92577
full-128k-gpt4o-code-bpe	full-128k-gpt4o-code-bpe	2	128256	5602	1219	7550832	1639897	6245373	14599317.955043737	2.3376214607268033	8.89596954453173	0.2625779116795746	0.006940070016592506	True	1:92578,2:1813903
full-128k-gpt4o-code-bpe	full-128k-gpt4o-code-bpe	3	128256	5602	1219	7550832	1639897	6245373	13643006.95136857	2.1844983400300624	8.313249612683425	0.2625779116795746	0.006940070016592506	True	1:92578,2:1813904,3:4173186
full-128k-gpt4o-english-bpe	full-128k-gpt4o-english-bpe	1	128256	5602	1219	8447535	1840413	6245373	21011608.8411083	3.364348108769212	11.409233137297951	0.2946842406370284	0.004823917240315082	True	1:95102
full-128k-gpt4o-english-bpe	full-128k-gpt4o-english-bpe	2	128256	5602	1219	8447535	1840413	6245373	14879655.993871175	2.382508777917856	8.079603305042037	0.2946842406370284	0.004823917240315082	True	1:95103,2:1686581
full-128k-gpt4o-english-bpe	full-128k-gpt4o-english-bpe	3	128256	5602	1219	8447535	1840413	6245373	13676056.941404752	2.1897902561471914	7.426053055879107	0.2946842406370284	0.004823917240315082	True	1:95103,2:1686582,3:3898467
full-128k-gpt4o-english-fullbyte-bpe	full-128k-gpt4o-english-fullbyte-bpe	1	128256	5602	1219	8483591	1847427	6245373	21069380.14826852	3.373598366065329	11.397195649285218	0.29580731206927113	0.004805061309594371	True	1:95079
full-128k-gpt4o-english-fullbyte-bpe	full-128k-gpt4o-english-fullbyte-bpe	2	128256	5602	1219	8483591	1847427	6245373	14909092.356705876	2.3872220853271497	8.06487145549006	0.29580731206927113	0.004805061309594371	True	1:95080,2:1686315
full-128k-gpt4o-english-fullbyte-bpe	full-128k-gpt4o-english-fullbyte-bpe	3	128256	5602	1219	8483591	1847427	6245373	13687906.212404301	2.191687544107342	7.4042873608058555	0.29580731206927113	0.004805061309594371	True	1:95080,2:1686316,3:3897858
full-128k-highmid-bpe	full-128k-highmid-bpe	1	128256	5602	1219	6330577	1383453	6245373	17897104.19112844	2.8656581746404	12.925157864915619	0.22151647307534714	0.00445045838203394	True	1:120488
full-128k-highmid-bpe	full-128k-highmid-bpe	2	128256	5602	1219	6330577	1383453	6245373	14433192.576240947	2.311021707789262	10.423546208951251	0.22151647307534714	0.00445045838203394	True	1:120489,2:2270412
full-128k-highmid-bpe	full-128k-highmid-bpe	3	128256	5602	1219	6330577	1383453	6245373	14027699.757437686	2.246094790085025	10.130702258323765	0.22151647307534714	0.00445045838203394	True	1:120489,2:2270413,3:4317137
full-128k-highmid-unigram	full-128k-highmid-unigram	1	128256	5602	1219	9222062	1995702	6245373	20261100.662983336	3.2441778358127427	10.146170360762062	0.31954888843308477	0.0039043905352602742	True	1:92622
full-128k-highmid-unigram	full-128k-highmid-unigram	2	128256	5602	1219	9222062	1995702	6245373	15274037.065815285	2.4456564989497482	7.6487938510413205	0.31954888843308477	0.0039043905352602742	True	1:92623,2:1268515
full-128k-highmid-unigram	full-128k-highmid-unigram	3	128256	5602	1219	9222062	1995702	6245373	14051671.76492044	2.2499331528990245	7.036668834130364	0.31954888843308477	0.0039043905352602742	True	1:92623,2:1268516,3:3443792
full-128k-highres-bpe	full-128k-highres-bpe	1	128256	5602	1219	6605247	1453775	6245373	18472919.505768646	2.9578568815295174	12.696216964309574	0.23277632897186445	0.004519268800192602	True	1:117938
full-128k-highres-bpe	full-128k-highres-bpe	2	128256	5602	1219	6605247	1453775	6245373	14451676.849370942	2.3139813825965145	9.932464910075877	0.23277632897186445	0.004519268800192602	True	1:117939,2:2168473
full-128k-highres-bpe	full-128k-highres-bpe	3	128256	5602	1219	6605247	1453775	6245373	13908154.42576951	2.226953366239216	9.55890843932656	0.23277632897186445	0.004519268800192602	True	1:117939,2:2168474,3:4295292
full-128k-highres-unigram	full-128k-highres-unigram	1	128256	5602	1219	9270713	2009855	6245373	20236437.67561607	3.240228834309187	10.062502760025772	0.32181504611493983	0.003623146943436218	True	1:86820
full-128k-highres-unigram	full-128k-highres-unigram	2	128256	5602	1219	9270713	2009855	6245373	15324305.287040722	2.45370537308832	7.619960919906837	0.32181504611493983	0.003623146943436218	True	1:86821,2:1233207
full-128k-highres-unigram	full-128k-highres-unigram	3	128256	5602	1219	9270713	2009855	6245373	14015907.238414012	2.244206589168335	6.969364249358309	0.32181504611493983	0.003623146943436218	True	1:86821,2:1233208,3:3435342
full-128k-llama3	full-128k-llama3	1	128256	5602	1219	6693926	1451381	6245373	18565188.15425704	2.972630802716994	12.780660990126009	0.23239300518960196	0.006196856648943316	True	1:96011
full-128k-llama3	full-128k-llama3	2	128256	5602	1219	6693926	1451381	6245373	14437648.762119211	2.3117352257614097	9.939177173426415	0.23239300518960196	0.006196856648943316	True	1:96012,2:2136858
full-128k-llama3	full-128k-llama3	3	128256	5602	1219	6693926	1451381	6245373	13918316.089376543	2.228580436969344	9.581657778725418	0.23239300518960196	0.006196856648943316	True	1:96012,2:2136859,3:4418801
full-128k-pabpe-nfc-clean-balanced	full-128k-pabpe-nfc-clean-balanced	1	127836	5602	1219	7419515	1578434	6245373	19040999.268418875	3.0488169831359753	12.053912643105084	0.25273654591967526	0.007288869854552044	True	1:91861
full-128k-pabpe-nfc-clean-balanced	full-128k-pabpe-nfc-clean-balanced	2	127836	5602	1219	7419515	1578434	6245373	14583278.835602067	2.33505330035565	9.231950837052231	0.25273654591967526	0.007288869854552044	True	1:91862,2:1922447
full-128k-pabpe-nfc-clean-balanced	full-128k-pabpe-nfc-clean-balanced	3	127836	5602	1219	7419515	1578434	6245373	13929004.91529048	2.2302919161578467	8.817762454976176	0.25273654591967526	0.007288869854552044	True	1:91862,2:1922448,3:4244758
full-128k-pabpe-nfc-gpt4-balanced	full-128k-pabpe-nfc-gpt4-balanced	1	127826	5602	1219	7261142	1555325	6245373	19297183.857915655	3.089836885309437	12.397454783106456	0.24903636660292347	0.006915596418754923	True	1:87422
full-128k-pabpe-nfc-gpt4-balanced	full-128k-pabpe-nfc-gpt4-balanced	2	127826	5602	1219	7261142	1555325	6245373	14663165.281317666	2.3478446013260803	9.420334588240143	0.24903636660292347	0.006915596418754923	True	1:87423,2:1949819
full-128k-pabpe-nfc-gpt4-balanced	full-128k-pabpe-nfc-gpt4-balanced	3	127826	5602	1219	7261142	1555325	6245373	13999176.10336301	2.24152762426888	8.993755462976317	0.24903636660292347	0.006915596418754923	True	1:87423,2:1949820,3:4438269
full-128k-pabpe-nfc-gpt4-balanced-hybridwindow	full-128k-pabpe-nfc-gpt4-balanced-hybridwindow	1	127826	5602	1219	6513086	1395603	6245373	17948242.64866502	2.8738463897456596	12.849341325283406	0.22346191332367177	0.0070098731516054355	True	1:101772
full-128k-pabpe-nfc-gpt4-balanced-hybridwindow	full-128k-pabpe-nfc-gpt4-balanced-hybridwindow	2	127826	5602	1219	6513086	1395603	6245373	14457561.603120834	2.3149236407690674	10.350324954160826	0.22346191332367177	0.0070098731516054355	True	1:101773,2:2194208
full-128k-pabpe-nfc-gpt4-balanced-hybridwindow	full-128k-pabpe-nfc-gpt4-balanced-hybridwindow	3	127826	5602	1219	6513086	1395603	6245373	14037884.57076082	2.247725567513873	10.049873620805528	0.22346191332367177	0.0070098731516054355	True	1:101773,2:2194209,3:4406303
full-128k-punct-allmulti-equal-bpe	full-128k-punct-allmulti-equal-bpe	1	128256	5602	1219	7007048	1505866	6245373	18180789.15906	2.911081397229597	12.06354595730168	0.24111706378466105	0.005461309306405749	True	1:112233
full-128k-punct-allmulti-equal-bpe	full-128k-punct-allmulti-equal-bpe	2	128256	5602	1219	7007048	1505866	6245373	14516914.969686367	2.3244272151057057	9.632446059569544	0.24111706378466105	0.005461309306405749	True	1:112234,2:2064539
full-128k-punct-allmulti-equal-bpe	full-128k-punct-allmulti-equal-bpe	3	128256	5602	1219	7007048	1505866	6245373	13927912.164871367	2.230116946557294	9.241623508210465	0.24111706378466105	0.005461309306405749	True	1:112234,2:2064540,3:4227275
full-128k-punct-balanced-bpe	full-128k-punct-balanced-bpe	1	128256	5602	1219	6859357	1480792	6245373	17928199.73191314	2.8706371471989165	12.097210973409197	0.23710225153885925	0.0038965634606345795	True	1:120590
full-128k-punct-balanced-bpe	full-128k-punct-balanced-bpe	2	128256	5602	1219	6859357	1480792	6245373	14529758.804037953	2.3264837510966845	9.804082968370649	0.23710225153885925	0.0038965634606345795	True	1:120591,2:2123281
full-128k-punct-balanced-bpe	full-128k-punct-balanced-bpe	3	128256	5602	1219	6859357	1480792	6245373	13979776.455713224	2.238421381030921	9.432977525614334	0.23710225153885925	0.0038965634606345795	True	1:120591,2:2123282,3:4178615
full-128k-punct-balancedhalf-superbpe-t64k-copy	full-128k-punct-balancedhalf-superbpe-t64k-copy	1	128004	5602	1219	5341771	1167158	6245373	17005543.48904539	2.7229027776315986	14.554842734019404	0.18688363369169464	0.003544507256087008	True	1:122671
full-128k-punct-balancedhalf-superbpe-t64k-copy	full-128k-punct-balancedhalf-superbpe-t64k-copy	2	128004	5602	1219	5341771	1167158	6245373	14844346.236277916	2.376855031121106	12.705099669265927	0.18688363369169464	0.003544507256087008	True	1:122672,2:3062176
full-128k-punct-balancedhalf-superbpe-t64k-copy	full-128k-punct-balancedhalf-superbpe-t64k-copy	3	128004	5602	1219	5341771	1167158	6245373	14591790.76407358	2.3364162179062133	12.488940439664235	0.18688363369169464	0.003544507256087008	True	1:122672,2:3062177,3:4284552
full-128k-punct-english-bpe	full-128k-punct-english-bpe	1	128256	5602	1219	8781988	1915471	6245373	21071260.152884725	3.3738993896577076	10.99356711460107	0.30670241793404496	0.004689708170992931	True	1:94079
full-128k-punct-english-bpe	full-128k-punct-english-bpe	2	128256	5602	1219	8781988	1915471	6245373	14978400.782336853	2.398319649176575	7.81472266372593	0.30670241793404496	0.004689708170992931	True	1:94080,2:1586148
full-128k-punct-english-bpe	full-128k-punct-english-bpe	3	128256	5602	1219	8781988	1915471	6245373	13646997.339923691	2.185137275215378	7.120085845871628	0.30670241793404496	0.004689708170992931	True	1:94080,2:1586149,3:3789020
full-128k-rightalign-balanced-bpe	full-128k-rightalign-balanced-bpe	1	128256	5602	1219	6280633	1353529	6245373	17627501.948511086	2.8224898574530433	13.011646408417718	0.21672508591560505	0.004483834480088716	True	1:120803
full-128k-rightalign-balanced-bpe	full-128k-rightalign-balanced-bpe	2	128256	5602	1219	6280633	1353529	6245373	14465873.672730457	2.316254557210667	10.677907384052574	0.21672508591560505	0.004483834480088716	True	1:120804,2:2294365
full-128k-rightalign-balanced-bpe	full-128k-rightalign-balanced-bpe	3	128256	5602	1219	6280633	1353529	6245373	14108054.763939384	2.2589611163239383	10.413785267768901	0.21672508591560505	0.004483834480088716	True	1:120804,2:2294366,3:4332110
